date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:57	127/127	---MCZ	200	added ('OK')	text/plain	date:Thu,%2026%20Jan%202023%2008:37:57%20GMT	https://www.granatensistraduccion.com/robots.txt		(from )
09:37:57	96151/96151	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:37:57%20GMT	https://www.granatensistraduccion.com/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/index.html	(from )
09:37:58	5842/5842	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202023%2008:37:57%20GMT	http://gmpg.org/xfn/11	/Users/lleoun/websites/granatensis/gmpg.org/xfn/11.html	(from https://www.granatensistraduccion.com/)
09:37:58	0/0	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2026%20Jan%202023%2008:37:58%20GMT	https://www.granatensistraduccion.com/xmlrpc.php	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/xmlrpc.php	(from https://www.granatensistraduccion.com/)
09:38:00	9878/9878	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jan%202023%2008:26:15%20GMT	https://www.granatensistraduccion.com/wp-content/uploads/2023/01/logo_new.png	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/uploads/2023/01/logo_new.png	(from https://www.granatensistraduccion.com/)
09:38:01	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2026%20Jan%202023%2008:38:01%20GMT	http://www.googletagmanager.com/	/Users/lleoun/websites/granatensis/www.googletagmanager.com/index.html	(from https://www.granatensistraduccion.com/)
09:38:01	59016/59016	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Dec%202022%2010:55:18%20GMT	https://www.granatensistraduccion.com/wp-includes/css/dashicons.min.css?ver=6.1.1	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/css/dashicons.min6a4d.css	(from https://www.granatensistraduccion.com/)
09:38:02	838/838	---M--	200	added ('OK')	application/rss+xml	etag:%22c014c2eae437cb0b8ea713d749507e65%22	https://www.granatensistraduccion.com/comments/feed/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/comments/feed/index.html	(from https://www.granatensistraduccion.com/)
09:38:02	815/815	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202023%2015:35:53%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/menu-icons/css/extra.min.css?ver=0.13.2	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/menu-icons/css/extra.min69e0.css	(from https://www.granatensistraduccion.com/)
09:38:02	1179/1179	---M--	200	added ('OK')	application/rss+xml	etag:%22c014c2eae437cb0b8ea713d749507e65%22	https://www.granatensistraduccion.com/feed/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/feed/index.html	(from https://www.granatensistraduccion.com/)
09:38:04	94889/94889	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Dec%202022%2008:15:15%20GMT	https://www.granatensistraduccion.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://www.granatensistraduccion.com/)
09:38:04	904/904	---M--	200	added ('OK')	application/rss+xml	etag:%22c014c2eae437cb0b8ea713d749507e65%22	https://www.granatensistraduccion.com/pagina-ejemplo/feed/	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/pagina-ejemplo/feed/index.html	(from https://www.granatensistraduccion.com/)
09:38:05	217/217	---MCZ	200	added ('OK')	text/css	date:Wed,%2021%20Dec%202022%2010:55:17%20GMT	https://www.granatensistraduccion.com/wp-includes/css/classic-themes.min.css?ver=1	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-includes/css/classic-themes.min68b3.css	(from https://www.granatensistraduccion.com/)
09:38:05	2285/2285	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Jan%202023%2016:19:57%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.2	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/contact-form-7/includes/css/styles9f31.css	(from https://www.granatensistraduccion.com/)
09:38:07	52422/52422	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202023%2012:26:05%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/weglot/dist/css/front-css.css?ver=3.9	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/dist/css/front-css7868.css	(from https://www.granatensistraduccion.com/)
09:38:08	87142/87142	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202023%2012:26:05%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/weglot/app/styles/new-flags.css?ver=3.9	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/weglot/app/styles/new-flags7868.css	(from https://www.granatensistraduccion.com/)
09:38:09	39011/39011	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Jan%202023%2009:29:49%20GMT	https://www.granatensistraduccion.com/wp-content/themes/neve/style-main-new.min.css?ver=3.4.10	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/themes/neve/style-main-new.min3d9c.css	(from https://www.granatensistraduccion.com/)
09:38:10	17651/17651	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20Jan%202023%2010:13:15%20GMT	https://www.granatensistraduccion.com/wp-content/plugins/cookie-law-info/lite/frontend/js/script.min.js?ver=3.0.8	/Users/lleoun/websites/granatensis/www.granatensistraduccion.com/wp-content/plugins/cookie-law-info/lite/frontend/js/script.min6173.js	(from https://www.granatensistraduccion.com/)
